stdr_ym,induty_nm,sexdstn_code,agrde_code,setle_cascnt,setle_amount
202102,패스트푸드점,2,02,30474,271580827
202102,패스트푸드점,2,03,105852,977222517
202102,패스트푸드점,2,04,202196,2025936715
202102,패스트푸드점,2,05,107161,1004238699
202102,패스트푸드점,2,06,29058,257781386
202102,패스트푸드점,2,07,7452,68653785
202102,패밀리레스토랑,1,01,17,631680
202102,패밀리레스토랑,1,02,3080,94634670
202102,패밀리레스토랑,1,03,9307,288882508
202102,패밀리레스토랑,1,04,14888,444668191
202102,패밀리레스토랑,1,05,10212,294490313
202102,패밀리레스토랑,1,06,2417,65716648
202102,패밀리레스토랑,1,07,574,16743396
202102,패밀리레스토랑,2,01,14,254760
202102,패밀리레스토랑,2,02,3191,107177883
202102,패밀리레스토랑,2,03,9493,302742127
202102,패밀리레스토랑,2,04,20830,596378268
202102,패밀리레스토랑,2,05,15291,427739149
202102,패밀리레스토랑,2,06,4136,111353454
202102,패밀리레스토랑,2,07,951,26799565
202103,한식,1,01,745,24496460
202103,한식,1,02,145858,4940268269
202103,한식,1,03,444200,15179378631
202103,한식,1,04,768803,26344653449
202103,한식,1,05,650252,21794075847
202103,한식,1,06,278047,9129171935
202103,한식,1,07,79887,2539990684
202103,한식,2,01,663,21070520
202103,한식,2,02,148914,4947247678
202103,한식,2,03,375062,12293267210
202103,한식,2,04,782761,24741951556
202103,한식,2,05,738030,23555871123
202103,한식,2,06,297036,10030346588
202103,한식,2,07,73810,2513720573
202103,일식,1,01,80,2711500
202103,일식,1,02,17812,733518355
202103,일식,1,03,41230,1932460129
202103,일식,1,04,56331,2787518564
202103,일식,1,05,44488,2174732259
202103,일식,1,06,16161,840956241
202103,일식,1,07,4938,221663454
202103,일식,2,01,74,2619700
202103,일식,2,02,21199,793235047
202103,일식,2,03,38107,1534794254
202103,일식,2,04,68903,2711039549
202103,일식,2,05,58862,2384400433
202103,일식,2,06,19081,871760941
202103,일식,2,07,4961,214123882
202103,중식,1,01,124,3467840
202103,중식,1,02,21941,524473748
202103,중식,1,03,73712,1866998402
202103,중식,1,04,130446,3161331163
202103,중식,1,05,90647,2087775967
202103,중식,1,06,31070,721412646
202103,중식,1,07,8441,201584600
202103,중식,2,01,121,2413788
202103,중식,2,02,20852,502797188
202103,중식,2,03,55433,1440046762
202103,중식,2,04,125179,2887512623
202103,중식,2,05,92236,2152722639
202103,중식,2,06,32411,805442001
202103,중식,2,07,8467,218606764
202103,양식,1,01,70,2562250
202103,양식,1,02,13306,458574253
202103,양식,1,03,33566,1217857183
202103,양식,1,04,37529,1332793526
202103,양식,1,05,26328,882339875
202103,양식,1,06,7812,265337987
202103,양식,1,07,1775,64306346
202103,양식,2,01,73,2025980
202103,양식,2,02,22936,747085792
202103,양식,2,03,42984,1394375074
202103,양식,2,04,60958,1813589930
202103,양식,2,05,47125,1402201583
202103,양식,2,06,13127,423926141
202103,양식,2,07,2608,92013045
202103,패스트푸드점,1,01,251,2140600
202103,패스트푸드점,1,02,39792,346393052
