,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
94,106641,기아,270,Y,[기재정정]사업보고서 (2019.12),2.02112E+13,기아,20211210,연
95,106641,기아,270,Y,[기재정정]사업보고서 (2018.12),2.02112E+13,기아,20211210,연
96,106641,기아,270,Y,[기재정정]사업보고서 (2017.12),2.02112E+13,기아,20211210,연
97,106641,기아,270,Y,[기재정정]사업보고서 (2016.12),2.02112E+13,기아,20211210,연
98,106641,기아,270,Y,[기재정정]사업보고서 (2015.12),2.02112E+13,기아,20211210,연
99,106641,기아,270,Y,[기재정정]사업보고서 (2014.12),2.02112E+13,기아,20211210,연
100,106641,기아,270,Y,사업보고서 (2013.12),2.01403E+13,기아,20140331,연
101,106641,기아,270,Y,사업보고서 (2012.12),2.01304E+13,기아,20130401,연
102,164788,현대모비스,12330,Y,[기재정정]사업보고서 (2021.12),2.0221E+13,현대모비스,20221005,연
103,164788,현대모비스,12330,Y,[기재정정]사업보고서 (2020.12),2.02103E+13,현대모비스,20210326,연
104,164788,현대모비스,12330,Y,사업보고서 (2019.12),2.02003E+13,현대모비스,20200330,연
105,164788,현대모비스,12330,Y,[첨부정정]사업보고서 (2018.12),2.01904E+13,현대모비스,20190401,연
106,164788,현대모비스,12330,Y,사업보고서 (2017.12),2.01803E+13,현대모비스,20180328,연
107,164788,현대모비스,12330,Y,사업보고서 (2016.12),2.01703E+13,현대모비스,20170331,연
108,164788,현대모비스,12330,Y,사업보고서 (2015.12),2.01603E+13,현대모비스,20160330,연
109,164788,현대모비스,12330,Y,사업보고서 (2014.12),2.01503E+13,현대모비스,20150331,연
110,164788,현대모비스,12330,Y,사업보고서 (2013.12),2.01403E+13,현대모비스,20140331,연
111,164788,현대모비스,12330,Y,사업보고서 (2012.12),2.01304E+13,현대모비스,20130401,연
112,244455,케이티앤지,33780,Y,사업보고서 (2021.12),2.02203E+13,케이티앤지,20220321,연
113,244455,케이티앤지,33780,Y,사업보고서 (2020.12),2.02103E+13,케이티앤지,20210311,연
